ردیف,priority,سال,بخش,ماده,بخش (ماده),موضوع,بند,خلاصه,شرح
27,2,1382,دوم,30,دوم  (30),بیماریهای غدد مترشحه داخلی,8,چاقی,"چاقی مفرط با توجه به وزن مناسب فرد به شرح زیر عمل میشود:
100+2 طول قد = وزن مناسب 
الف) چنانچه مشمولی از 60 % وزن مناسب به بالا اضافه وزن داشته باشد چاقی مفرط محسوب شده و معاف دائم 
ب) اگر اضافه وزن بین 40 % تا 60 % وزن مناسب باشد، خدمات غیررزمی "
28,2,1382,دوم,30,دوم  (30),بیماریهای غدد مترشحه داخلی,9,ژنیکوماستی,"ژینکوماستی شدید، معاف دائم"
29,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,1,انواع اگزماها,"انواع اگزماهاي وسيع و شديد:
الف) در صورتی که مزمن و مقاوم به درمان باشد، معاف دائم 
ب) در سایر موارد، خدمات غیر رزمی"
30,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,2,عفونتهاي قارچي,"عفونتهاي قارچي عميق و وسيع پوست:
الف) در صورتی که مزمن و مقاوم به درمان باشد، معاف دائم 
ب) کچلی، یک سال معاف موقت"
31,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,3,هيپرهيدروز کف دست,هيپرهيدروز (عرق كردن كف دست) شديد معاف دائم
32,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,4,ليكن پلان ,ليكن پلان پوستي و مخاطي شديد و گسترده معاف دائم
33,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,5,پسوریازیس,پسوريازيس كف دست و پا و پسوريازيس هاي شديد و گسترده و انورسه معاف دائم
34,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,6,سل,سل هاي پوستي معاف دائم
35,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,7,لوپوس,لوپوس اريتماتو سيستميك و لوپوس اريتماتو ديسكوئيد معاف دائم
36,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,8,"خال هاي پيگمانته، آنژيوم هاي وسيع","خال هاي پيگمانته، آنژيوم هاي وسيع و غير قابل عمل:
الف) توأم با اختلالات عملي و يا در سر و صورت كه كراهت منظر ايجاد كرده باشد معاف دائم
ب) در ساير موارد خدمات غيررزمي"
37,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,9,لنفومای پوستی و ..,ميكوزيس فونكوئيد و ساير لنفوماي پوستي و پاراپسوريازيس با پلاكهاي بزرگ معاف دائم
38,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,10,سيكاتريس هاي جلدي,"سيكاتريس هاي جلدي در صورتي كه وسيع و ضخيم بوده يا چسبندگي با اطراف داشته به طوري كه مانع حمل تجهيزات و تمرينات نظامي بوده يا تمايل به زخم شدن داشته باشد يا اختلالات عمل توليد نموده باشد، معاف دائم"
39,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,11,"اسکلرودریم، آتروفی پوستی","اسكلرودرمي ها - آتروفي هاي پوستي در صورتي كه وسيع و پيش رونده باشند، معاف دائم"
40,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,12,ويتيليكو,ويتيليكو گسترده صورت و يا هر دو دست و يا بيش از 40٪ كل بدن معاف دائم
41,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,13,عوارض اختلالات عروقي,عوارض پوستي شديد كه در اثر اختلالات عروقي ايجاد شده باشد مانند فلبيت هاي عمقي و سطحي كه با ورم مزمن اندام توأم باشد معاف دائم
42,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,14,هيپودرميت هاي ندولر,"هيپودرميت هاي ندولر و شديد و منتشر و مقاوم و توأم با علائم سيستميك، معاف دائم"
43,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,15,درماتيت هاي بولوز,"درماتيت هاي بولوز غير ميكروبي اكتسابي و درماتيت هاي بولوز مادرزادي و اكرودرماتيت مزمن هالوپو، آكرودرماتيس آنتروپاتيكا، معاف دائم"
44,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,16,هيپركراتوز  دست  دو پا,"هيپركراتوز كف هر دو دست و يا هر دو پا:
الف) در مورد شديد معاف دائم.
ب) در موارد خفيف خدمات غيررزمي"
45,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,17,فرونكولوز,فرونكولوز شديد و وسيع يك سال معاف موقت
46,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,18,بيماري پوستي حين انجام خدمت,"بيماري هاي پوستي كه در حين انجام خدمت وظيفه يا در اثر حساسيت و يا مسمويت نسبت به مواد شيميايي (شغلي، دارويي، جنگي) ايجاد شده باشد و به درمان مقاوم باشد، معاف دائم"
47,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,19,کهیر,"كهير:
الف) همراه با آنژيوادم، معاف دائم
ب) در ساير موارد خدمات غيررزمي"
48,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,20,آلوپسی,آلوپسي آرآتا همراه با كراهت منظر يا توتاليس و يا يونيورساليس معاف دائم
49,2,1382,سوم,31,سوم (31),بیماریهای پوست و بافتهای زیرپوست,21,بیماری های کلاژن ,"بيماري هاي كلاژن، اسكلرودرمي ها، پلي آرتريت نودوزا، واسكوليت هاي لنفوسيتي، واسكوليت هاي دارويي در صورتي كه وسيع بوده و سبب اختلال عملي گردند معاف دائم"
50,2,1382,سوم,32,سوم (31),بیماریهای پوست و بافتهای زیرپوست,22,آکنه,"انواع آکنه وقتي كه شديد باشد و يا منظره صورت را تغيير دهد و يا اينكه ناحيه وسيعي از گردن، كتف ها، سينه و پشت را فرا گرفته باشد معاف دائم"
51,2,1382,سوم,33,سوم (31),بیماریهای پوست و بافتهای زیرپوست,23,ليشمانيوز,"ليشمانيوز (سالك پوستي):
الف) فعال شش ماه معاف موقت
ب) در صورتي كه پس از بهبودي كراهت منظر يا اختلال عملي اعضاء را ايجاد نمايد معاف دائم"
52,2,1382,سوم,34,سوم (31),بیماریهای پوست و بافتهای زیرپوست,24,ساركوئيدوز,ساركوئيدوز پوست معاف دائم
53,2,1382,سوم,35,سوم (31),بیماریهای پوست و بافتهای زیرپوست,25,بيماري ژنودرماتوز,"بيماري ژنودرماتوز مانند توبروزاسكلروزيس، ركلين هوزن، آلبينيسم، اكتيوز مادرزادي، كزرودرما پيكمانتوزا، پورفيري معاف دائم"
54,2,1382,سوم,36,سوم (31),بیماریهای پوست و بافتهای زیرپوست,26,ايكتيوز,ايكتيوز گسترده مادرزادي يا اكتسابي معاف دائم
55,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,1,اختلال استحاله ای,اختلالات استحاله اي سلولهاي عصبي (مانند فريدريش و....) معاف دائم
56,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,2,اختلال مخچه,اختلالات تعادلي مخچه اي معاف دائم
57,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,3,میلیت ها,"انواع ميليت ها و سكل آنها:
الف) در صورتي كه شديد باشد معاف دائم
ب) در موارد خفيف (زماني كه بر اساس طبقه بندي بين المللي {صفر تا پنج} در حد 4 باشد) خدمات غيررزمي"
58,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,4,آنسفالیت ها و آنسفالوپاتی ها,"آنسفالیت ها و آنسفالوپاتی ها در صورتی که عوارض جسمی یا روانی پایدار و ناتوان کننده داشته باشد، معاف دائم"
59,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,5,مولتیپل اسکلروزیس,مولتیپل اسکلروزیس یا MS معاف دائم
60,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,6,صغر عضلاني,انواع صغر عضلاني عضلات بزرگ مشروط بر اينكه اختلال شديد و مشهود ايجاد كرده باشد معاف دائم
61,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,7,میوپاتی,انواع میوپاتي هاي اوليه و ثانويه معاف دائم
62,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,8,اختلالات مادرزادي سيستم اعصاب مركزي,اختلالات مادرزادي سيستم اعصاب مركزي از هرنوع معاف دائم
63,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,9,پلژی و پارازی,"انواع پاراپلژي ها، پاراپارزي ها، همي پلژي ها، همي پارزيها و منوپلژيها معاف دائم"
64,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,10,اختلال دستگاه خارج هرمی,انواع اختلالات و حركات غير طبيعي عضوي مربوط به دستگاه خارج هرمي معاف دائم
65,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,11,صرع,"انواع صرع به شرط ثبوت كلينيكي و يا پاراكلينيكي در يكي از مراكز درماني دانشگاهي يا نظامي معاف دائم
تبصره: درمواردي كه شروط فوق تحقق نيابد ولي مدارك قابل استناد دال بر سابقه صرع موجود باشد به خدمت غيررزمي اعزام و در مشاغل مناسب گمارده شود درصورتيكه در حين خدمت صرع ثابت شود معاف دائم"
66,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,12,پلی نوریت,انواع پلي نوريتهاي بهبود نيافته و سكل آنها با تأييد الكترودياگنوزيس به شرط ثبوت كلينيكي و پاراكلينيكي در مراكز درماني دانشگاهي يا نظامي معاف دائم
67,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,13,نوروفيبروماتوز,"انواع نوروفيبروماتوزها:
الف) در موارد شديد (اختلال عملكرد، كراهت منظر) معاف دائم
ب) در موارد خفيف خدمات غيررزمي"
68,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,14,مننژیت,سابقه مننژيت هاي مزمن و سكل انواع مننژيت در صورت داشتن اختلال عملي و عصبي به شرط ثبوت در مراكز درماني دانشگاهي يا نظامي معاف دائم
69,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,15,نورالژی,انواع نورالژيها معاف از رزم
70,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,16,فلج اعصاب كرانیال,"انواع فلج اعصاب كرانیال:
الف) درموارد شديد و مقاوم به درمان با اثبات كلينيكي يا پاراكلينيكي معاف دائم.
ب) بدون عارضه خدمات غيررزمي"
71,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,17,سكته هاي مغزي و ضايعات عروقي مغز,"انواع سكته هاي مغزي و ضايعات عروقي مغز:
الف) با عارضه عصبي (ارگانيك يا غيرارگانيك) معاف دائم
ب) بدون عارضه خدمات غير رزمي"
72,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,18,مياستني گراويس,بيماري مياستني گراويس با اثبات كلينيكي يا پاراكلينيكي در مراكز درماني دانشگاهي يا نظامي معاف دائم
73,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,19,تورتیکولی,تورتيكولي معاف دائم
74,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,20,اختلال خلقی,"انواع اختلالات خلقی شدید چه در فاز مانیک، چه در فاز افسردگی اعم از حاد یا مزمن، معاف دائم"
75,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,21,اختلال شخصیت,"اختلالات شخصیتی (سایکوپات نوع مرزی، نوع اسکیزو...)، معاف دائم"
76,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,22,نوروز,"انواع نوروزهای شدید و مقاوم به درمان و مزاحم، معاف دائم"
77,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,23,عقب ماندگی ذهنی,"انواع نقیصه های عقلانی و کند ذهنی ها (عقب ماندگی ها) تا سطح عقلانی 12 ساله، معاف دائم"
78,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,24,اختلال تکلم و لکنت زبان,"اختلالات تکلم و لکنت زبان در صورتی که علت روانی یانورولوژیک داشته باشد:
الف) در صورت شدید بودن، معاف دائم
ب ) در موارد خفیف، خدمات غیررزمی"
79,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,25,اختلا دوقطبی,"بیماری خلقی دو قطبی، معاف دائم"
80,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,26,بیماریهای روانی ناشی از جنگ و حوادث,"بیماریهای روانی ناشی از جنگ و حوادث مانند موج گرفتگی و پسیکوزها:
الف) در صورتی که استقرار یافته باشد (به شرط ثبوت در بیمارستانهای نظامی یا دانشگاهی توسط دو نفر روانپزشک)، معاف دائم
ب) در صورت عدم استقرار، خدمات غیررزمی"
81,2,1382,چهارم,32,چهارم (32),بیماریهای اعصاب و روان,27,اختلال رفتار,"اختلال رفتار(عدم تعادل عصبی و روانی) و کژخویی ها به طوری که مغایر شیونات نظامی باشد همچنین انحرافات اخلاقی و جنسی مانند ترانس سکسوالیسم، معاف دائم"
82,2,1382,پنجم,33,پنجم (33),بیماریهای روانپزشکی,1,انواع پسيكوز,"انواع پسيكوزها شامل (اسكيزوافكتيو، اختلالات هذياني، پسيكوزهاي آتيپيك مزمن) معاف دائم"
83,2,1382,پنجم,33,پنجم (33),بیماریهای روانپزشکی,2,اختلالات خلقي,"اختلالات خلقي:
الف) شديد در فازمانيك يا فاز افسردگي اعم از حاد و يا مزمن معاف دائم
ب) اختلال افسردگي اساسي معاف دائم
ج) انواع اختلال خلقي افسردگي خفيف (ديس تايمي و سايكلوتايمي)، اختلال خلقي نوع دوم (هيپومانيا) در صورتيكه با دارو تحت كنترل بوده و يا تهديد كننده خود و اطرافيان نباشد معاف از رزم"
84,2,1382,پنجم,33,پنجم (33),بیماریهای روانپزشکی,3, اختلالات شخصيتي,"انواع اختلالات شخصيتي:
الف) انواع سايكوپات و نوع مرزي و نوع اسكيزوئيد معاف دائم
ب) انواع ديگر اختلال شخصيت در صورتيكه ناتوان كننده باشد معاف دائم
ج) در صورتيكه ناتوان كننده نباشد معاف از رزم"
85,2,1382,پنجم,33,پنجم (33),بیماریهای روانپزشکی,4,نوروز,انواع نوروزهاي شديد و مقاوم به درمان و مزاحم معاف دائم
86,2,1382,پنجم,33,پنجم (33),بیماریهای روانپزشکی,5,عقب ماندگی ذهنی,"انواع نقيصه هاي عقلاني و كند ذهني ها (عقب ماندگي ها):
الف) با ضريب هوشي زير 60 معاف دائم
ب) با ضريب هوشي بين 75 – 60 معاف از رزم"
87,2,1382,پنجم,33,پنجم (33),بیماریهای روانپزشکی,6,اختلالات تكلم و لكنت زبان,"اختلالات تكلم و لكنت زبان درصورتيكه علت رواني يا نورولوژيك داشته باشد:
الف) درصورت شديد بودن معاف دائم
ب) درموارد خفيف خدمات غيررزمي"
88,2,1382,پنجم,33,پنجم (33),بیماریهای روانپزشکی,7,بيماريهاي رواني ناشي از جنگ و حوادث,"بيماريهاي رواني ناشي از جنگ و حوادث:
الف) در صورتي كه استقرار يافته باشد به شرط ثبوت در مراكز درماني نظامي يا دانشگاهي توسط دو نفر روانپزشك معاف دائم
ب) درصورت عدم استقرار خدمات غير رزمي"
89,2,1382,پنجم,33,پنجم (33),بیماریهای روانپزشکی,8,اختلال رفتار,اختلال رفتار (عدم تعادل عصبي و رواني) و كژخوئيها بطوري كه مغاير شئونات نظامي باشد همچنين انحرافات اخلافي و جنسي مانند ترانس سكسواليسم معاف دائم
90,2,1382,پنجم,33,پنجم (33),بیماریهای روانپزشکی,9,اختلالات كنترل تكانه,"اختلالات كنترل تكانه معاف دائم
تبصره: تيك هاي (تكانه هاي) ضعيف و گذرا مثل پلك زدن و..... معاف از رزم"
91,2,1382,ششم,34,ششم (34),بیماریهای جراحی مغز و اعصاب,1,معايب ستون فقرات,"معايب ستون فقرات (مادرزادي يا اكتسابي).
الف) در موارد شديد با اشكال عملي معاف دائم
ب) در موارد خفيف خدمات غيررزمي"
92,2,1382,ششم,35,ششم (34),بیماریهای جراحی مغز و اعصاب,2,اسپونديلوليزيس و اسپونديلوليستزيس,اسپونديلوليزيس و اسپونديلوليستزيس معاف دائم
93,2,1382,ششم,36,ششم (34),بیماریهای جراحی مغز و اعصاب,3,هرنی دیسک,"انواع هرني ديسكال با علائم كلينيكي و راديولوژي عمل شده و عمل نشده معاف دائم
(در مورد بيماران عمل شده انجام ميلوگرافي و يا MRI ستون فقرات كه در مراكز درماني دانشگاهي يا نظامي انجام شده باشد منضم به تأييد راديوگرافي ضروري است)"
94,2,1382,ششم,37,ششم (34),بیماریهای جراحی مغز و اعصاب,4,تومورهاي استخواني خوش خيم ستون فقرات,"تومورهاي استخواني خوش خيم ستون فقرات:
الف) در صورتيكه از نظر حجم و موقعيت اختلال عملي ايجاد نمايد معاف دائم.
ب) بدون اختلال عملي خدمات غير رزمي"
95,2,1382,ششم,38,ششم (34),بیماریهای جراحی مغز و اعصاب,5,شكستگي هاي تازه و مهره ها,"انواع شكستگي هاي تازه و مهره ها (بدنه، تيغه، زوائد مفصلي) معاف دائم"
96,2,1382,ششم,39,ششم (34),بیماریهای جراحی مغز و اعصاب,6,تغيير شكلهاي مادرزادي و واضح جمجمه,"تغيير شكلهاي مادرزادي و واضح جمجمه مانند هيدرو سفالي، ميكروسفالي معاف دائم"
97,2,1382,ششم,40,ششم (34),بیماریهای جراحی مغز و اعصاب,7,اختلالات عروقي مغز ,اختلالات عروقي مغز با و بدون علائم كلينيكي (مثل آنوريسم و A.V.M) معاف دائم
98,2,1382,ششم,41,ششم (34),بیماریهای جراحی مغز و اعصاب,8,سابقه عمل جراحي روي مغز,سابقه عمل جراحي روي مغز معاف دائم
99,2,1382,ششم,42,ششم (34),بیماریهای جراحی مغز و اعصاب,9,كمپرسيونهاي نخاعي ,كمپرسيونهاي نخاعي مانند تومورهاي استخواني مهره ها و يا سكل عفونتها و آراكنوئيديتها خواه به مرحله فلج رسيده باشد يا نرسيده باشد معاف دائم
100,2,1382,ششم,43,ششم (34),بیماریهای جراحی مغز و اعصاب,10,جسم خارجی CNS,هر نوع جسم خارجي در داخل جمجه و كانال نخاعي معاف دائم
101,2,1382,ششم,44,ششم (34),بیماریهای جراحی مغز و اعصاب,11,دنده گردنی,"دنده گردني:
الف) با عوارض شديد معاف دائم
ب) بدون عوارض خدمات غيررزمي"
102,2,1382,ششم,45,ششم (34),بیماریهای جراحی مغز و اعصاب,12,TOS,توراسيك اوت لند سندرم با تأئيد كلينيكي و يا راديولوژي معاف دائم
103,2,1382,ششم,46,ششم (34),بیماریهای جراحی مغز و اعصاب,13,انواع خونريزي هاي سربرومننژه,"انواع خونريزي هاي سربرومننژه:
الف) با عارضه عصبي (ارگانيك يا غيرارگانيك) معاف دائم
ب) بدون عارضه خدمات غيررزمي"
104,2,1382,ششم,47,ششم (34),بیماریهای جراحی مغز و اعصاب,14,تروماهاي عصبي,"تروماهاي عصبي:
الف) فلج اعصابي كه سبب اختلالات عملي و ناتوان كننده معاف دائم
ب) صدمات عصبي حسي خدمات غيررزمي"
107,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,1,اختلالات دیافراگم,"تغییر شکل و نقص های مادرزادی حجاب حاجز (نبودن دیافراگم و یا فلج حجاب حاجز )، معاف دائم"
108,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,2,تغییر شکل مادرزادی قفسه صدری,"تغيير شكلهاي مادرزادي قفسه صدري مانند سينه فرورفته (سينه قيفي شكل)، جناغ برجسته يا فقدان عضلات تنفسي:
الف) همراه با اختلال باليني واضح در عمل قلب يا ريه معاف دائم
ب) بدون اختلال تنفسي و قلبي خدمات غيررزمي"
109,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,3,تغییر شکلهای مادرزادی مجاری هوایی,"تغییر شکلهای مادرزادی مجاری هوایی (فیستولها و تراکئوبرونکومگالی)، معاف دائم"
110,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,4,آژنزی ریه,"عدم تشکیل قسمتی از ریه (آژنزی ریه) و آپلازی کامل یا جزیی که ایجاد اختلال در عمل تنفسی نموده باشد، معاف دائم"
111,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,5,استئيت و استئوميليت,"استئيت و استئوميليت دنده ها يا ترقوه يا جناغ سينه يا كتف:
الف) در نوع مزمن (بيش از 6 ماه) معاف دائم
ب) در نوع بهبود يافته خدمات غيررزمي"
112,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,6,شکستگی دنده ها یا جناغ و کتف و ترقوه ,"شکستگی دنده ها یا جناغ و کتف و ترقوه که موجب اختلال عمل تنفسی و یا تغییر شکل شدید آنان شده است به شرط ثبوت در بیمارستانهای نظامی و یا دانشگاهی، معاف دائم"
113,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,7,سیکاتریس وسیع سوختگی  یا اعمال جراحی,"سیکاتریس سوختگی وسیع و یا سیکاتریس های اعمال جراحی که ایجاد اختلال عملی تنفسی نماید، معاف دائم"
114,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,8,انواع پلورزيها,"انواع پلورزيها:
الف) از نوع مزمن (بيش از 6 ماه ) معاف دائم
ب) از نوع حاد شش ماه معاف موقت"
115,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,9,سابقه پنوموتوراكس خودبخودي,"سابقه پنوموتوراكس خودبخودي:
الف) سابقه پنوموتوراكس خودبخودي (يكبار تأئيد شده) معاف از رزم
ب) سابقه پنوموتوراكس خودبخودي تكرار شونده (بيش از يكبار) معاف دائم"
116,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,10,"سارکوئیدوز، فیروز ریه، سندرم کارتاژنز","سارکوئیدوز، فیروز ریه، سندرم کارتاژنز، معاف دائم"
117,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,11,تومورهای دیافراگم یا جنب,"تومورهای حجاب حاجز و یا جنب اعم از خوش خیم و بدخیم، معاف دائم"
118,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,12,بیماری های قارچی مزمن ریه,"بیماری های قارچی مزمن ریه، معاف دائم"
119,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,13,پنوموکونیوزها,"پنوموکونیوزها، معاف دائم"
120,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,14,آمفيزم,"آمفيزم ريه:
الف) بصورت منتشر معاف دائم.
ب) لوكاليزه خدمات غيررزمي"
121,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,15,كيست هاي مختلف,"كيست هاي مختلف ريه (هيداتيك، درموئيد) پلور  و پري كارديال و كيست هاي هوايي بزرگ و متعدد معاف دائم"
122,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,16,آبسه ریوی,"آبسه ریوی و سکلهای وسیع عفونی، معاف دائم"
123,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,17,برونشكتازي,"برونشكتازي:
الف) دو طرفه يا دو لب در يك ريه معاف دائم
ب) يك لوب يك طرفه معاف از رزم"
124,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,18,برونشیتهای مزمن ,"برونشیتهای مزمن که تولید عوارض بالینی نموده باشد، معاف دایم"
125,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,19,آسم,"آسم به شرط ثبوت در بيمارستانهاي نظامي يا دانشگاهي:
الف) در موارد متوسط و شديد معاف دائم
ب) درموارد خفيف خدمات غيررزمي"
126,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,20,تومورهای برونش,"تومورهای برونش به طور کلی اعم از بدخیم و خوش خیم، معاف دائم"
127,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,21,اجسام خارجي,"اجسام خارجي ريه، برونش و مدياستن كه عارضه ريوي ايجاد كرده و باعث اختلال در فونكسيون ريه شده باشد به شرط ثبوت در بيمارستانهاي نظامي يا دانشگاهي معاف دائم"
128,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,22,سابقه اعمال جراحي سينه,سابقه اعمال جراحي سينه اعم از برداشتن بيش از يك دنده و توراكوپلاستي و رزكسيون ريه و دكورتيكاسيون معاف دائم
129,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,23,"تنگي هاي تراشه، برونشها ","تنگي هاي تراشه، برونشها كه ايجاد اختلالات عملي كرده باشد معاف دائم"
130,2,1382,هفتم,35,هفتم (35),بیماریهای ریه و قفسه صدری,24,اختلالات مدیاستن,"تومورهاي مدياستن، مدياستنيت هاي مزمن، علائم فشار به مدياسيتن معاف دائم"
132,2,1382,هشتم,36,هشتم (36),بیماریهای استخوانها(اسکلت),1,انحرافات ستون فقرات,"انحرافات ستون فقرات مادرزادي يا اكتسابي:
الف) در اشكال شديد و ناتوان كننده معاف دائم
1 – انحرافات جانبي مادرزادي و اكتسابي ستون فقرات (اسكوليوز) بيش از 30 درجه معاف دائم
2 – جبران نشده و يا منجر به تغيير شكل قفسه صدري شده باشد معاف دائم
3 – كيفوز شديد بيش از 70 درجه معاف دائم
ب) در اشكال خفيف (انحرافات جانبي مادرزادي و اكتسابي ستون فقرات كمتر از 20 درجه) معاف از رزم"
133,2,1382,هشتم,36,هشتم (36),بیماریهای استخوانها(اسکلت),2,"اسپينابيفيدا اكولتا، ساكراليزاسيون، لومباريزاسيون","اسپينابيفيدا اكولتا، ساكراليزاسيون، لومباريزاسيون خدمات غيررزمي"
134,2,1382,هشتم,36,هشتم (36),بیماریهای استخوانها(اسکلت),3,سابقه جراحی ستون فقرات,هرگونه اعمال جراحي (استخواني) ستون فقرات معاف دائم
135,2,1382,هشتم,36,هشتم (36),بیماریهای استخوانها(اسکلت),4,شکستگی های قدیمی استابولوم,"شکستگی های قدیمی حفره کوتیل (استابولوم) چنانچه با تغییر شکل حفره و یا عارضه دیگر مفصلی همراه باشد، معاف دائم"
136,2,1382,هشتم,36,هشتم (36),بیماریهای استخوانها(اسکلت),5,نكروز آواسكولار سر  ران,"نكروز آواسكولار سر استخوان ران به هر علت، معاف دائم"
137,2,1382,هشتم,36,هشتم (36),بیماریهای استخوانها(اسکلت),6,شكستگي هاي لكن,"شكستگي هاي لكن:
الف) نوع مالكين معاف دائم
ب) نوع OPEN BOOK معاف از رزم"
138,2,1382,هشتم,36,هشتم (36),بیماریهای استخوانها(اسکلت),7,بيماري شوئرمان,بيماري شوئرمان خدمات غير رزمي
139,2,1382,هشتم,36,هشتم (36),بیماریهای استخوانها(اسکلت),8,استئوميليت,"استئوميليت:
الف) از نوع حاد شش ماه معاف موقت
ب) عفونتهاي سخت حاد و عفونتهايي كه عليرغم 6 ماه درمان بهبود نيافته و منجر به تغيير شكل استخوان يا ترشح مكرر باشد معاف دائم"
140,2,1382,هشتم,36,هشتم (36),بیماریهای استخوانها(اسکلت),9,تومورهاي استخواني خوش خيم,"تومورهاي استخواني خوش خيم:
الف) تومورهاي استخواني متعدد و يا با ايجاد اختلال مشهود در كار عضو معاف دائم
ب) تومورهاي داخل استخواني منفرد بدون عارضه خدمات غير رزم"
141,2,1382,هشتم,36,هشتم (36),بیماریهای استخوانها(اسکلت),10,كيستهاي استخوانی,"كيستهاي استخواني:
الف) كيستهاي بزرگ با خطر شكستگي يا به اندازه بيش از 3 / 1 قطر استخوان معاف دائم
ب) كيستهاي كوچك و بدون عارضه خدمات غير رزم"
